19.05.06 14:46:06	 start:12.11.22 08:58:32	 pos:543515465	 sent:-543515466	 speed:--.-b/s	 host:82.177.100.172	 client:BearShare	 file:why angels cry- annet artani.wmv
19.05.06 14:52:29	 start:16.08.81 19:40:16	 pos:2260	 sent:1953785510	 speed:2b/s	 host:84.172.196.19	 client:Unknown	 file:
19.05.06 14:56:32	 start:19.07.19 04:51:12	 pos:1633970541	 sent:-474232575	 speed:--.-b/s	 host:84.172.196.19	 client:Unknown	 file:
19.05.06 15:04:32	 start:16.08.04 09:08:36	 pos:1852140910	 sent:101364482	 speed:1b/s	 host:84.172.196.19	 client:Unknown	 file:
19.05.06 15:07:43	 start:16.08.04 09:08:36	 pos:1852140910	 sent:101364482	 speed:1b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 15:25:43	 start:08.05.73 08:56:08	 pos:1121717397	 sent:580085209	 speed:0b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 15:30:30	 start:23.11.82 17:47:44	 pos:684333121	 sent:-140616672	 speed:0b/s	 host:212.46.255.228	 client:Unknown	 file:
19.05.06 15:31:01	 start:20.06.80 02:56:42	 pos:406918042	 sent:1328372665	 speed:1b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 15:37:47	 start:09.04.34 01:03:14	 pos:-603240246	 sent:-1923736923	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 15:44:13	 start:22.02.16 11:06:16	 pos:1091803838	 sent:540640623	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 15:47:04	 start:02.04.96 19:48:35	 pos:980316789	 sent:687530155	 speed:2b/s	 host:86.52.143.203	 client:Unknown	 file:
19.05.06 15:51:07	 start:23.02.16 05:18:32	 pos:1121717074	 sent:54796750	 speed:--.-b/s	 host:82.228.61.29	 client:Unknown	 file:
19.05.06 15:57:53	 start:03.09.76 00:02:48	 pos:1091809332	 sent:-548288971	 speed:0b/s	 host:82.228.61.29	 client:Unknown	 file:
